pc,total_logons,unique_users,first_seen,last_seen,active_days
PC-0004,756,25,2010-01-04 07:53:00,2011-05-16 18:56:00,346
PC-0008,1379,25,2010-01-03 09:01:00,2011-05-16 18:21:00,438
PC-0039,530,20,2010-01-04 07:47:00,2010-12-14 18:07:00,242
PC-0044,780,27,2010-01-04 08:56:00,2011-05-16 18:15:00,346
PC-0072,778,26,2010-01-04 08:04:00,2011-05-16 17:13:00,347
PC-0092,768,26,2010-01-04 07:40:00,2011-05-16 17:55:00,346
PC-0094,1036,28,2010-01-04 09:05:00,2011-05-16 18:12:00,346
PC-0115,762,26,2010-01-04 07:04:00,2011-05-16 16:14:00,346
PC-0118,774,30,2010-01-04 08:05:00,2011-05-16 17:12:00,348
PC-0120,1025,26,2010-01-04 08:00:00,2011-05-16 16:03:00,347
PC-0132,650,22,2010-01-04 06:32:12,2011-02-25 18:44:00,293
PC-0133,770,27,2010-01-04 07:45:00,2011-05-16 16:48:00,347
PC-0141,368,16,2010-01-04 08:18:00,2010-08-17 19:29:00,160
PC-0146,1053,27,2010-01-04 07:49:00,2011-05-16 18:09:00,347
PC-0148,630,17,2010-01-04 07:14:00,2010-10-29 17:26:00,212
PC-0151,980,27,2010-01-03 07:07:00,2011-05-16 16:11:00,449
PC-0155,857,1,2010-01-04 08:12:00,2011-03-22 16:24:00,308
PC-0164,778,25,2010-01-04 08:51:00,2011-05-16 23:49:58,347
PC-0166,1293,26,2010-01-03 06:50:00,2011-05-16 15:57:00,436
PC-0174,1053,26,2010-01-04 07:00:00,2011-05-16 16:16:00,347
PC-0177,774,24,2010-01-04 08:30:00,2011-05-16 19:21:00,346
PC-0181,784,29,2010-01-04 08:25:00,2011-05-16 17:30:00,346
PC-0183,1045,26,2010-01-04 06:03:39,2011-05-16 15:51:00,346
PC-0189,774,27,2010-01-04 08:28:00,2011-05-16 18:26:00,346
PC-0191,772,27,2010-01-04 07:54:00,2011-05-16 17:47:00,348
PC-0198,386,21,2010-01-04 08:21:00,2010-09-02 16:29:00,172
PC-0202,768,24,2010-01-04 08:53:00,2011-05-16 17:00:00,346
