pc,total_requests,unique_users,unique_urls,unique_content_type,first_request,last_request,active_days,offhours_requests,weekdays_requests
PC-0004,32775,1,138,32775,2010-01-04,2011-05-16,345,703,0
PC-0008,41135,1,181,41135,2010-01-03,2011-05-16,433,300,8075
PC-0039,22895,1,224,22895,2010-01-04,2010-12-14,241,243,0
PC-0044,3460,1,69,3460,2010-01-04,2011-05-16,346,0,0
PC-0072,56052,1,163,56052,2010-01-04,2011-05-16,346,0,0
PC-0092,49478,1,206,49478,2010-01-04,2011-05-16,346,1865,0
PC-0094,10034,1,215,10034,2010-01-04,2011-05-16,346,0,0
PC-0115,32870,1,247,32870,2010-01-04,2011-05-16,346,3612,0
PC-0118,32870,1,217,32870,2010-01-04,2011-05-16,346,0,0
PC-0120,31140,1,218,31140,2010-01-04,2011-05-16,346,301,0
PC-0132,2911,1,101,2911,2010-01-04,2011-02-25,292,5,2
PC-0133,56052,1,176,56052,2010-01-04,2011-05-16,346,521,0
PC-0141,1594,1,59,1594,2010-01-04,2010-08-17,159,150,0
PC-0146,32870,1,310,32870,2010-01-04,2011-05-16,346,295,0
PC-0148,20181,1,181,20181,2010-01-04,2010-10-29,211,2208,0
PC-0151,4490,1,66,4490,2010-01-03,2011-05-16,449,647,940
PC-0155,34850,1,231,34850,2010-01-04,2011-03-22,306,102,0
PC-0164,32870,1,224,32870,2010-01-04,2011-05-16,346,278,0
PC-0166,82840,1,285,82840,2010-01-03,2011-05-16,436,12858,16720
PC-0174,49478,1,172,49478,2010-01-04,2011-05-16,346,6014,0
PC-0177,3460,1,121,3460,2010-01-04,2011-05-16,346,293,0
PC-0181,32870,1,164,32870,2010-01-04,2011-05-16,346,0,0
PC-0183,55728,1,234,55728,2010-01-04,2011-05-16,344,3521,0
PC-0189,3450,1,158,3450,2010-01-04,2011-05-16,345,0,0
PC-0191,32870,1,105,32870,2010-01-04,2011-05-16,346,286,0
PC-0198,5093,1,108,5093,2010-01-04,2010-09-02,171,0,0
PC-0202,10034,1,136,10034,2010-01-04,2011-05-16,346,0,0
PC-0205,10034,1,102,10034,2010-01-04,2011-05-16,346,1043,0
