user,total_files,unique_pcs,sensitive_files,avg_file_length,top_file_extension
AAF0535,357,357,29,351.0,doc
AAM0658,31,31,9,390.0,doc
ABC0174,589,589,40,374.0,doc
AHD0848,199,199,19,377.0,doc
AHM0410,2198,2198,291,372.0,doc
AIB0948,1669,1669,141,374.0,doc
AIP0982,6182,6182,626,365.5,doc
AJD0074,515,515,44,367.0,doc
AJF0370,11053,11053,1236,381.0,doc
AJH0175,236,236,15,381.0,doc
AJN0607,820,820,57,374.5,doc
AJR0932,47,47,5,367.0,doc
AKR0057,540,540,39,367.0,doc
AMR0318,230,230,12,378.5,doc
ANM0123,47,47,2,342.0,doc
AOK0844,1321,1321,127,375.0,doc
ATE0869,522,522,41,373.0,doc
ATP0662,1273,1273,129,372.0,doc
AVM0947,7701,7701,687,372.0,doc
BAJ0654,2919,2919,214,357.0,doc
BAL0044,2900,2900,434,353.0,doc
BBG0325,349,349,20,368.0,doc
BBS0039,1,1,0,477.0,exe
BBS0422,499,499,58,364.0,doc
BDI0533,2458,2458,237,366.0,doc
BDV0168,36,36,6,359.0,doc
BEH0615,268,268,12,375.0,doc
BIH0745,41,41,1,371.0,doc
BIS0247,418,418,49,382.0,doc
BJM0111,7841,7841,1008,365.0,doc
BJP0134,8072,8072,447,375.0,doc
BLS0678,5,5,0,385.0,doc
BMG0917,7692,7692,766,368.0,doc
BMT0528,1903,1903,261,366.0,doc
BQS0525,57,57,5,352.0,doc
BRB0355,712,712,74,371.5,doc
BRM0995,590,590,43,367.0,doc
BRS0734,1845,1845,94,366.0,doc
BSS0369,2295,2295,71,366.0,doc
BTL0226,4,4,0,360.5,doc
BTR0403,520,520,47,370.5,doc
BVC0790,975,975,90,365.0,doc
BWP0202,627,627,77,365.0,doc
CAA0612,641,641,41,366.0,doc
CAB0614,931,931,68,368.0,doc
CAH0936,42,42,4,383.0,doc
CAM0681,759,759,83,367.0,doc
CAS0507,6290,6290,627,366.0,doc
CCA0046,1678,1678,244,369.0,doc
CCL0068,630,630,49,375.0,doc
CCM0136,137,137,7,377.0,doc
CEJ0109,679,679,79,357.0,doc
CFM0767,778,778,97,364.0,doc
CGB0637,2333,2333,189,353.0,doc
CHM0821,1228,1228,116,372.5,doc
CIM0271,1552,1552,159,365.0,doc
CLB0774,7246,7246,699,374.0,doc
CPG0322,337,337,37,364.0,doc
CQH0701,243,243,16,381.0,doc
CQW0652,696,696,78,362.0,doc
CSC0217,1,1,0,406.0,exe
CTA0020,606,606,53,360.5,doc
CWR0502,765,765,53,377.0,doc
DAL0673,352,352,27,371.0,doc
DBB0384,8543,8543,1054,376.0,doc
DCH0843,38,38,4,390.5,doc
DFH0188,6281,6281,853,374.0,doc
DIB0081,1580,1580,196,375.5,doc
DIB0285,375,375,37,370.0,doc
DIW0118,1314,1314,112,376.0,doc
DLM0051,10673,10673,921,372.0,doc
DMK0257,1499,1499,149,368.0,doc
DPM0423,1403,1403,93,367.0,doc
DRR0162,529,529,51,376.0,doc
EAH0466,358,358,30,372.5,doc
EDB0714,526,526,43,365.5,doc
EGD0132,399,399,19,378.0,doc
EHB0824,14,14,1,336.5,doc
EHD0584,11,11,0,415.0,doc
EIS0041,3676,3676,118,366.0,doc
EMW0772,181,181,14,379.0,doc
ESH0283,2646,2646,283,374.0,doc
ESJ0670,3303,3303,272,368.0,doc
ESR0693,509,509,47,368.0,doc
FEB0306,1157,1157,64,373.0,doc
FFC0891,961,961,97,368.0,doc
FKK0055,601,601,58,372.0,doc
FMG0527,23,23,1,362.0,doc
FOB0756,165,165,21,370.0,doc
FSC0601,653,653,52,371.0,doc
FTM0406,33,33,5,363.0,doc
GCL0016,199,199,18,374.0,doc
GCS0571,564,564,37,374.0,doc
GHH0288,1563,1563,68,368.0,doc
GHL0460,41,41,5,374.0,doc
GKO0078,942,942,57,365.5,doc
GNS0178,3049,3049,502,374.0,doc
GTD0219,1281,1281,106,364.0,doc
GZC0735,304,304,17,357.0,doc
HAD0246,315,315,37,380.0,doc
HAH0760,1900,1900,246,373.0,doc
HBO0413,691,691,86,369.0,doc
HCL0651,723,723,60,364.0,doc
HCM0267,8167,8167,567,370.0,doc
HCS0003,3045,3045,311,372.0,doc
HDH0928,1577,1577,216,366.0,doc
HDS0367,3406,3406,491,369.0,doc
HFB0347,1716,1716,218,354.0,doc
HJB0742,5,5,0,215.0,doc
HJS0072,82,82,5,337.5,doc
HMM0108,345,345,47,368.0,doc
HPH0075,9323,9323,932,373.0,doc
HRB0351,2662,2662,201,377.0,doc
HRL0540,1777,1777,202,374.0,doc
HSB0196,11627,11627,653,371.0,doc
HVF0067,2023,2023,156,374.0,doc
HWW0436,1245,1245,97,387.0,doc
HXL0968,477,477,28,370.0,doc
IBB0359,3199,3199,101,364.0,doc
IBB0696,986,986,75,374.0,doc
IBM0671,802,802,64,364.0,doc
IBS0836,624,624,71,377.5,doc
ICH0294,2509,2509,191,364.0,doc
IIW0249,473,473,40,374.0,doc
IJM0444,1840,1840,75,389.0,doc
IJM0776,344,344,36,372.5,doc
IKP0472,812,812,69,367.0,doc
IKR0401,554,554,42,371.0,doc
ILH0958,2970,2970,270,378.5,doc
ILJ0526,1236,1236,113,366.5,doc
IRM0931,2278,2278,183,371.0,doc
IUB0565,503,503,59,367.0,doc
JBD0616,339,339,21,367.0,doc
JCG0316,2161,2161,202,373.0,doc
JCR0172,406,406,25,376.0,doc
JDB0169,7791,7791,537,371.0,doc
JDC0030,724,724,72,369.5,doc
JDF0593,403,403,38,367.0,doc
JFC0557,2839,2839,464,368.0,doc
JGT0221,1,1,0,443.0,exe
JHP0583,1589,1589,149,374.0,doc
JJH0613,1641,1641,133,365.0,doc
JJM0203,425,425,43,351.0,doc
JLM0364,1,1,0,493.0,exe
JMB0308,10,10,0,318.5,doc
JMD0520,1893,1893,187,352.0,doc
JMK0099,555,555,53,371.0,doc
JNJ0556,7977,7977,835,373.0,doc
JRG0207,27,27,3,396.0,doc
JTM0223,1,1,0,639.0,exe
JTS0389,376,376,41,382.0,doc
KBG0549,377,377,36,384.0,doc
KCO0122,1593,1593,153,368.0,doc
KCS0173,260,260,17,377.5,doc
KJJ0293,530,530,32,363.0,doc
KKW0879,1534,1534,80,376.0,doc
KLH0596,53,53,2,384.0,doc
KMB0922,1209,1209,104,368.0,doc
KMW0545,493,493,40,373.0,doc
KRL0501,578,578,53,372.0,doc
KWE0082,2234,2234,231,382.0,doc
LBF0214,1236,1236,120,377.0,doc
LBH0942,10889,10889,1042,371.0,doc
LCB0664,414,414,36,381.5,doc
LCC0819,337,337,39,369.0,doc
LDG0459,480,480,26,374.0,doc
LIM0674,185,185,13,367.0,doc
LJR0523,3,3,0,374.0,doc
LJT0817,1927,1927,217,371.0,doc
LOM0086,438,438,45,378.0,doc
LQC0479,22,22,0,348.5,doc
LRR0148,907,907,59,364.0,doc
MAR0955,69,69,1,371.0,doc
MAS0025,55,55,6,365.0,doc
MBJ0312,1019,1019,71,368.0,doc
MCD0125,434,434,21,367.5,doc
MCF0600,102,102,8,369.5,doc
MDH0580,622,622,65,367.5,doc
MDM0625,8346,8346,503,367.0,doc
MGS0974,162,162,12,379.5,doc
MKW0441,421,421,28,370.0,doc
MLL0598,353,353,32,371.0,doc
MLM0950,2752,2752,230,371.0,doc
MOH0273,9306,9306,891,367.0,doc
MOS0047,1593,1593,191,347.0,doc
MPM0220,6689,6689,637,365.0,doc
